      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1979  0.52 -0.03 -0.27 -0.01  0.07  0.47  0.02 -0.08 -0.09 -0.25 -0.34  0.20
1980  0.11 -0.04 -0.51  0.21  0.33 -0.24 -0.25 -0.15 -0.47 -0.43 -0.25  0.00
1981  0.19  0.12 -0.26  0.39  0.14 -0.21 -0.26 -0.33 -0.66 -0.34 -0.06 -0.18
1982  0.39  0.34  0.25  0.30  0.46  0.56  0.60  0.48  0.56  0.64  0.60 -0.10
1983 -0.21 -0.40 -0.81 -0.70 -0.10  0.35  0.83  0.34  0.17 -0.08  0.07 -0.24
1984  0.01 -0.22 -0.09  0.22 -0.52 -0.53 -0.25 -0.35 -0.28 -0.54 -0.53 -0.33
1985 -0.28 -0.37 -0.19 -0.08  0.11 -0.55 -0.41 -0.20 -0.34 -0.57  0.22 -0.02
1986  0.29  0.13  0.54  0.06  0.14 -0.11 -0.42 -0.23 -0.07 -0.10  0.07 -0.21
1987 -0.04 -0.18 -0.53 -0.30  0.14 -0.16 -0.08  0.35  0.26  0.26  0.10  0.08
1988  0.50  0.23 -0.11  0.10 -0.54 -0.09  0.09  0.09 -0.23 -0.28 -0.29  0.07
1989 -0.40  0.13 -0.24 -0.08 -0.25 -0.48 -0.10 -0.73 -0.54 -0.73 -0.47 -0.18
1990  0.57 -0.15 -0.09 -0.21 -0.35 -0.47 -0.07 -0.31 -0.41 -0.76 -0.32 -0.21
1991  0.09  0.16 -0.10  0.43  0.56 -0.01 -0.09 -0.22  0.04  0.08  0.08  0.20
1992 -0.40 -0.69 -0.76 -0.37 -0.53 -0.70 -0.27 -0.54 -0.70 -0.92  0.02  0.18
1993  0.09  0.12 -0.30 -0.11  0.26  0.29  0.06 -0.09 -0.35 -0.19 -0.28 -0.16
1994  0.01 -0.37  0.21  0.49  0.55  0.41  0.52  1.07  0.70  1.64  0.27  0.08
1995  0.04  0.68  0.30  0.10 -0.07 -0.12 -0.38 -0.39 -0.28 -0.46 -0.46  0.45
1996  0.45  0.18 -0.23 -0.39 -0.14 -0.31 -0.33 -0.71 -0.71 -1.15 -0.81 -0.39
1997  0.02  0.36  0.24 -0.05 -0.22  0.06  0.62  0.44  0.44  0.94  1.23  0.60
1998  0.76  0.64  0.24  0.04  0.03  0.11 -0.46 -0.68 -0.36 -0.99 -0.75 -0.37
1999 -0.32  0.16  0.18 -0.14 -0.52 -0.20  0.21  0.03 -0.09 -0.58 -0.38 -0.23
2000 -0.15  0.30  0.58  0.29  0.08 -0.08  0.31  0.06 -0.04 -0.42 -0.52 -0.11
2001  0.37  0.33  0.54 -0.02 -0.43 -0.10 -0.51 -0.47 -0.29 -0.38  0.02 -0.06
2002 -0.20 -0.11 -0.38 -0.41 -0.51 -0.22 -0.40 -0.39  0.22  0.17 -0.05 -0.17
2003 -0.39  0.21  0.08 -0.01  0.18  0.41  0.30  0.17  0.15 -0.14 -0.28  0.18
2004 -0.10  0.01  0.13 -0.25 -0.62 -0.63 -0.35 -0.09  0.17 -0.02 -0.30 -0.14
2005 -0.24 -0.94 -0.87 -0.02  0.00 -0.27 -0.51 -0.38 -0.66 -0.58 -0.19 -0.25
2006 -0.23 -0.42 -0.32  0.17  0.10 -0.05 -0.03  0.16  0.50  0.92  0.76  0.29
2007  0.18  0.02  0.27  0.25  0.40  0.31  0.38  0.26  0.35  0.23 -0.11 -0.29
2008  0.10  0.04  0.18 -0.29  0.20  0.55  0.72  0.49  0.15  0.02 -0.20 -0.13
2009 -0.21  0.33  0.46  0.02  0.17  0.16 -0.29 -0.11 -0.18 -0.17 -0.23  0.30
2010  0.43 -0.08  0.37  0.42 -0.36  0.01 -0.17 -0.40 -1.08 -1.01 -0.17 -0.19
2011  0.15  0.00  0.17  0.14  0.04  0.10  0.26  0.40  0.61  0.56  0.07 -0.01
2012  0.22 -0.14  0.23 -0.18  0.07  0.06  0.51  0.85  0.74  0.19 -0.01  0.10
2013  0.07 -0.02 -0.20 -0.21 -0.53 -0.52 -0.35 -0.34 -0.37 -0.29 -0.09 -0.21
2014 -0.02 -0.08 -0.51 -0.27 -0.03 -0.30 -0.43 -0.54 -0.28  0.07 -0.04 -0.31
2015 -0.44 -0.37 -0.16  0.03  0.39  0.29  0.28  0.49  0.87  0.81  0.41  0.05
2016 -0.40 -0.24 -0.08 -0.08 -0.39 -0.69 -1.08 -0.69 -1.16 -0.73 -0.34 -0.11
2017 -0.02  0.19  0.22  0.47  0.33  0.32  0.30  0.61  0.23 -0.14  0.02 -0.23
2018 -0.01  0.35 -0.19  0.05  0.02 -0.19  0.15  0.25  0.69  0.32  0.41  0.20
2019  0.02 -0.34 -0.12 -0.05  0.59  0.60  0.60  1.11  1.23  2.04  1.77  0.65
2020  0.10 -0.15 -0.16 -0.09  0.44  0.66  0.29 -0.53 -0.38  0.01 -0.15  0.16
2021  0.14  0.06  0.02  0.39 -0.36 -0.45 -0.68 -0.31 -0.22 -0.58 -0.35 -0.12
