      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1976 -0.84 -0.43 -0.04  0.35  0.09 -0.31 -0.42 -0.80 -0.51 -0.58 -0.47 -0.15
1977 -0.65 -0.60  0.09  0.19 -0.28 -0.79 -1.06 -0.50 -0.29  0.26 -0.12 -0.19
1978 -1.25 -0.81 -0.49  0.15 -0.12 -0.59 -0.99 -1.13 -0.28 -0.22 -0.40 -0.63
1979 -0.25 -0.61 -0.40  0.25  0.09 -0.35 -1.18 -1.05 -0.57 -0.36 -0.49 -0.20
1980 -0.66 -0.62 -0.64  0.47  0.36 -1.06 -1.46 -1.13 -0.94 -0.54 -0.40 -0.41
1981 -0.57 -0.47 -0.39  0.64  0.16 -1.03 -1.47 -1.30 -1.14 -0.45 -0.21 -0.59
1982 -0.37 -0.25  0.12  0.56  0.48 -0.26 -0.61 -0.49  0.07  0.53  0.45 -0.51
1983 -0.97 -0.99 -0.93 -0.45 -0.08 -0.47 -0.38 -0.63 -0.31 -0.19 -0.07 -0.65
1984 -0.75 -0.82 -0.22  0.49 -0.49 -1.35 -1.46 -1.33 -0.76 -0.65 -0.68 -0.74
1985 -1.03 -0.95 -0.32  0.18  0.14 -1.38 -1.62 -1.17 -0.83 -0.68  0.07 -0.44
1986 -0.47 -0.46  0.42  0.32  0.15 -0.93 -1.63 -1.20 -0.55 -0.22 -0.08 -0.61
1987 -0.80 -0.77 -0.66 -0.03  0.15 -0.98 -1.29 -0.62 -0.22  0.15 -0.05 -0.33
1988 -0.26 -0.36 -0.25  0.36 -0.52 -0.91 -1.13 -0.88 -0.71 -0.39 -0.44 -0.34
1989 -1.17 -0.46 -0.36  0.19 -0.24 -1.30 -1.31 -1.70 -1.02 -0.84 -0.62 -0.59
1990 -0.19 -0.74 -0.22  0.05 -0.33 -1.29 -1.27 -1.28 -0.89 -0.87 -0.46 -0.62
1991 -0.66 -0.43 -0.23  0.69  0.58 -0.82 -1.30 -1.18 -0.45 -0.03 -0.06 -0.21
1992 -1.16 -1.28 -0.89 -0.12 -0.50 -1.52 -1.49 -1.51 -1.18 -1.03 -0.13 -0.23
1993 -0.68 -0.47 -0.43  0.15  0.28 -0.53 -1.15 -1.06 -0.83 -0.30 -0.43 -0.58
1994 -0.75 -0.96  0.08  0.75  0.57 -0.42 -0.69  0.10  0.23  1.53  0.12 -0.33
1995 -0.72  0.09  0.17  0.36 -0.06 -0.94 -1.59 -1.35 -0.76 -0.57 -0.60  0.04
1996 -0.31 -0.41 -0.36 -0.12 -0.11 -1.14 -1.54 -1.68 -1.19 -1.26 -0.95 -0.80
1997 -0.74 -0.23  0.11  0.21 -0.20 -0.77 -0.60 -0.53 -0.05  0.83  1.08  0.19
1998  0.00  0.05  0.11  0.30  0.04 -0.71 -1.67 -1.64 -0.84 -1.10 -0.90 -0.78
1999 -1.08 -0.44  0.04  0.13 -0.49 -1.02 -1.00 -0.94 -0.56 -0.69 -0.53 -0.65
2000 -0.91 -0.29  0.44  0.55  0.10 -0.90 -0.90 -0.91 -0.52 -0.53 -0.67 -0.52
2001 -0.38 -0.26  0.41  0.24 -0.41 -0.92 -1.72 -1.44 -0.77 -0.50 -0.13 -0.47
2002 -0.96 -0.69 -0.51 -0.15 -0.49 -1.04 -1.60 -1.36 -0.26  0.06 -0.21 -0.58
2003 -1.14 -0.38 -0.05  0.25  0.20 -0.41 -0.91 -0.80 -0.33 -0.24 -0.43 -0.23
2004 -0.87 -0.58  0.00  0.01 -0.60 -1.45 -1.56 -1.06 -0.32 -0.13 -0.45 -0.55
2005 -1.00 -1.53 -1.00  0.24  0.02 -1.09 -1.72 -1.35 -1.14 -0.69 -0.34 -0.66
2006 -1.00 -1.01 -0.45  0.42  0.12 -0.87 -1.24 -0.81  0.02  0.81  0.61 -0.12
2007 -0.59 -0.57  0.14  0.51  0.42 -0.51 -0.83 -0.70 -0.13  0.12 -0.26 -0.70
2008 -0.66 -0.55  0.05 -0.04  0.22 -0.26 -0.50 -0.47 -0.33 -0.09 -0.34 -0.55
2009 -0.96 -0.27  0.33  0.28  0.19 -0.66 -1.49 -1.08 -0.66 -0.28 -0.38 -0.11
2010 -0.33 -0.67  0.24  0.68 -0.34 -0.82 -1.38 -1.36 -1.56 -1.12 -0.32 -0.60
2011 -0.61 -0.59  0.04  0.39  0.06 -0.72 -0.94 -0.57  0.13  0.44 -0.08 -0.43
2012 -0.54 -0.73  0.10  0.09  0.08 -0.76 -0.70 -0.13  0.26  0.08 -0.16 -0.31
2013 -0.68 -0.60 -0.33  0.05 -0.52 -1.34 -1.56 -1.31 -0.85 -0.40 -0.24 -0.62
2014 -0.79 -0.67 -0.63 -0.01 -0.02 -1.12 -1.64 -1.51 -0.76 -0.04 -0.18 -0.73
2015 -1.20 -0.96 -0.30  0.28  0.41 -0.53 -0.93 -0.48  0.39  0.70  0.26 -0.36
2016 -1.16 -0.83 -0.21  0.18 -0.36 -1.51 -2.29 -1.66 -1.64 -0.85 -0.49 -0.52
2017 -0.79 -0.40  0.09  0.74  0.35 -0.50 -0.91 -0.36 -0.25 -0.25 -0.13 -0.65
2018 -0.77 -0.24 -0.32  0.30  0.04 -1.01 -1.07 -0.72  0.21  0.21  0.26 -0.21
2019 -0.74 -0.93 -0.25  0.21  0.61 -0.22 -0.60  0.14  0.75  1.93  1.62  0.24
2020 -0.66 -0.74 -0.29  0.17  0.46 -0.17 -0.92 -1.50 -0.86 -0.11 -0.30 -0.25
2021 -0.62 -0.53 -0.10  0.66 -0.34 -1.27 -1.90 -1.28 -0.70 -0.70 -0.50 -0.53
